Feature,Encoded Feature,Correlation
odor,f,0.6237100347270388
stalk-surface-above-ring,k,0.5875225676598934
stalk-surface-below-ring,k,0.5733918530686719
gill-size,n,0.5398884271532032
bruises,f,0.5013025383805607
spore-print-color,h,0.49012521024548655
ring-type,l,0.45152835079021914
population,v,0.44353915447314884
spore-print-color,w,0.35726890800977373
habitat,p,0.32326949910170333
